ANO_NAC,SEXO,ENTI_NAC,LI_MAD,LI_PAD,EDO_PROC,PROM_BAC,BEC_NEC,EXA_EXT,DES_DESA,DES_ESME,DES_TERM,DES_DURO,ESCO_MAD,ESCO_PAD,CUAN_LIB,SER_LAV,SER_REF,SER_HOR,SER_INTE,SER_CABL,BIEN_PC,SER_TV,SER_AUTO,SER_BANO,VAC_RM,class
1996,1,29,2,2,29,6.7,2,4,1,4,5,4,3,3,2,1,1,2,1,1,2,2,2,2,1,NO SUFICIENTE
1945,1,29,2,2,29,7.7,1,1,1,5,4,5,4,3,3,1,1,2,2,2,2,2,1,2,3,NIVEL SATISFACTORIO
1996,1,29,2,2,29,7.6,1,1,2,2,3,3,2,2,2,1,1,2,2,1,1,4,1,2,1,NIVEL SATISFACTORIO
1995,2,29,2,2,29,9.9,2,1,1,5,5,5,4,3,4,1,1,1,1,1,3,3,2,2,3,NIVEL SOBRESALIENTE
1995,1,29,2,2,29,8.5,2,1,2,5,5,5,3,3,5,2,1,2,1,1,2,3,2,2,2,NO SUFICIENTE
1992,2,29,1,2,29,7.5,2,1,5,3,5,3,2,8,2,2,2,2,2,1,1,3,1,1,1,NO SUFICIENTE
1995,1,29,2,2,29,7,2,3,3,3,2,3,5,4,3,1,1,1,1,1,4,5,4,2,3,NO SUFICIENTE
1996,1,29,2,2,29,8.6,2,1,1,4,4,4,5,6,5,1,1,1,1,2,3,5,2,3,2,NIVEL SATISFACTORIO
1996,2,29,2,2,29,9.1,1,1,1,4,4,4,4,3,5,1,1,2,2,2,1,2,1,2,1,NIVEL SATISFACTORIO
1995,1,29,2,2,29,8.6,1,2,2,5,5,4,8,5,3,2,1,2,2,2,2,3,2,2,2,NIVEL SATISFACTORIO
